month,user_id,segment,total_sessions,total_events,total_purchases,total_spend,spend_per_session,purchases_per_session
November,565486650,loyal,20,34,5,3528.74,176.44,0.25
October,513357855,loyal,20,38,5,3527.49,176.37,0.25
October,559081030,loyal,14,21,4,3527.06,251.93,0.29
November,566126122,returning,4,5,2,3512.86,878.21,0.5
November,549105116,loyal,7,7,3,3512.42,501.77,0.43
October,513486941,loyal,11,16,3,3510.74,319.16,0.27
October,553067478,loyal,11,14,4,3506.42,318.77,0.36
October,519683021,loyal,17,27,8,3503.97,206.12,0.47
November,517649080,loyal,7,15,4,3503.35,500.48,0.57
November,515791359,loyal,7,10,4,3496.08,499.44,0.57
October,513685973,returning,4,5,2,3495.58,873.9,0.5
October,516385007,loyal,9,16,2,3495.58,388.4,0.22
October,549428613,returning,4,5,2,3495.4,873.85,0.5
October,554611055,returning,3,4,2,3495.4,1165.13,0.67
October,512444935,loyal,8,10,3,3489.9,436.24,0.38
November,513265116,loyal,19,28,7,3487.93,183.58,0.37
October,560088108,returning,3,3,2,3483.33,1161.11,0.67
October,513100660,returning,2,4,2,3482.68,1741.34,1.0
October,536064403,returning,2,2,2,3482.68,1741.34,1.0
October,522760118,loyal,15,20,4,3477.12,231.81,0.27
November,567260019,loyal,26,43,5,3476.78,133.72,0.19
October,552446675,returning,4,5,2,3476.19,869.05,0.5
October,515141601,loyal,6,6,4,3475.75,579.29,0.67
October,513019818,returning,5,6,2,3474.93,694.99,0.4
October,545365247,loyal,8,12,2,3469.58,433.7,0.25
November,515494421,loyal,14,19,3,3467.35,247.67,0.21
October,548481247,loyal,14,25,2,3467.2,247.66,0.14
October,543862005,loyal,21,40,11,3463.61,164.93,0.52
October,550963261,loyal,16,40,6,3461.46,216.34,0.38
October,538493799,loyal,11,16,3,3452.16,313.83,0.27
October,515509155,loyal,6,9,2,3451.68,575.28,0.33
November,514945956,loyal,21,41,11,3448.79,164.23,0.52
October,512561267,loyal,10,13,4,3448.29,344.83,0.4
October,515818232,returning,4,4,2,3447.34,861.83,0.5
October,514778102,loyal,11,13,5,3446.26,313.3,0.45
October,562555589,loyal,16,23,5,3441.02,215.06,0.31
November,554347151,loyal,13,14,4,3438.15,264.47,0.31
October,542399645,loyal,8,8,3,3436.44,429.56,0.38
November,550710776,returning,3,4,3,3436.38,1145.46,1.0
October,517107905,returning,5,6,2,3424.43,684.89,0.4
October,518639262,loyal,8,10,2,3424.41,428.05,0.25
October,512905134,loyal,15,18,3,3422.68,228.18,0.2
October,558665507,returning,3,4,2,3422.11,1140.7,0.67
October,513510457,returning,4,5,2,3419.62,854.91,0.5
October,555281871,returning,5,10,2,3409.4,681.88,0.4
November,556025823,loyal,6,8,3,3404.71,567.45,0.5
November,522618145,returning,3,6,3,3402.35,1134.12,1.0
November,564071761,returning,5,8,3,3400.75,680.15,0.6
October,555206577,loyal,11,34,2,3394.85,308.62,0.18
October,557708186,new,1,2,2,3383.84,3383.84,2.0
October,556791260,loyal,10,13,5,3381.71,338.17,0.5
October,564128201,returning,2,3,2,3381.04,1690.52,1.0
October,513466070,returning,5,8,3,3379.8,675.96,0.6
October,535149712,loyal,7,15,2,3379.7,482.81,0.29
October,514415747,loyal,13,29,3,3378.71,259.9,0.23
October,520210738,loyal,14,21,2,3378.46,241.32,0.14
October,519082846,loyal,11,17,4,3375.94,306.9,0.36
October,552325990,loyal,8,17,4,3375.87,421.98,0.5
October,515281010,loyal,12,23,5,3368.86,280.74,0.42
October,512609444,loyal,13,21,2,3366.88,258.99,0.15
November,512943072,loyal,11,13,2,3366.6,306.05,0.18
October,514151444,loyal,10,14,5,3360.24,336.02,0.5
October,558641005,loyal,6,9,3,3357.99,559.67,0.5
November,524995984,loyal,13,27,7,3357.79,258.29,0.54
October,557449530,loyal,12,13,4,3354.17,279.51,0.33
October,555845033,loyal,17,21,4,3351.95,197.17,0.24
October,515346884,loyal,9,13,3,3348.33,372.04,0.33
November,572416550,loyal,7,11,2,3345.78,477.97,0.29
October,518267421,loyal,9,13,5,3345.35,371.71,0.56
October,514726301,loyal,8,15,3,3334.71,416.84,0.38
October,518291138,loyal,15,25,4,3325.92,221.73,0.27
November,513939465,returning,4,4,2,3320.94,830.24,0.5
October,539766491,returning,5,7,3,3320.68,664.14,0.6
November,512793416,returning,5,7,2,3320.54,664.11,0.4
November,535553412,returning,4,5,2,3319.93,829.98,0.5
November,545308546,loyal,9,9,2,3317.49,368.61,0.22
October,512425205,loyal,22,38,2,3317.13,150.78,0.09
November,569181579,loyal,42,69,10,3316.9,78.97,0.24
October,525052406,loyal,8,17,2,3316.17,414.52,0.25
November,554386146,returning,3,3,2,3314.12,1104.71,0.67
November,564376796,loyal,7,7,2,3311.8,473.11,0.29
November,523176136,returning,2,3,2,3306.98,1653.49,1.0
November,568612163,returning,5,8,2,3300.92,660.18,0.4
November,560217050,loyal,6,12,2,3300.11,550.02,0.33
October,541169797,loyal,21,30,6,3299.16,157.1,0.29
October,536387680,loyal,15,29,5,3296.45,219.76,0.33
November,515671420,returning,5,6,2,3294.4,658.88,0.4
October,555218597,loyal,28,33,4,3292.49,117.59,0.14
November,560751873,new,1,2,2,3291.86,3291.86,2.0
November,516587494,loyal,7,11,2,3291.47,470.21,0.29
October,536494957,returning,2,4,2,3289.66,1644.83,1.0
October,514445784,returning,4,4,2,3287.53,821.88,0.5
October,513796594,returning,3,5,4,3287.31,1095.77,1.33
November,551437021,returning,4,5,2,3286.46,821.62,0.5
October,513107325,loyal,8,12,2,3283.21,410.4,0.25
October,512479014,loyal,23,40,2,3282.94,142.74,0.09
October,525377177,returning,3,5,2,3282.92,1094.31,0.67
October,513772730,loyal,10,13,2,3282.78,328.28,0.2
October,513270467,loyal,19,27,7,3280.92,172.68,0.37
November,533074223,loyal,30,36,7,3279.78,109.33,0.23
November,549717910,loyal,13,18,3,3279.29,252.25,0.23
November,578986926,returning,3,6,2,3278.7,1092.9,0.67
November,513320236,loyal,30,48,7,3274.1,109.14,0.23
October,529597949,loyal,18,27,3,3273.58,181.87,0.17
October,514828015,loyal,27,45,5,3273.11,121.23,0.19
November,520299396,returning,4,4,2,3272.19,818.05,0.5
October,552769157,returning,5,10,4,3270.93,654.19,0.8
October,513463427,loyal,9,12,4,3270.68,363.41,0.44
October,515481756,returning,3,5,2,3269.02,1089.67,0.67
October,549130155,loyal,8,12,2,3268.76,408.6,0.25
November,576590265,loyal,7,14,5,3268.15,466.88,0.71
November,546881736,loyal,42,97,7,3267.87,77.81,0.17
October,512372673,loyal,18,21,6,3266.3,181.46,0.33
November,522357052,returning,3,4,3,3259.4,1086.47,1.0
October,541538392,new,1,4,2,3258.3,3258.3,2.0
November,519077748,returning,2,5,2,3251.72,1625.86,1.0
October,534745077,returning,2,5,2,3250.87,1625.44,1.0
October,561557312,loyal,9,17,5,3247.34,360.82,0.56
November,568102193,returning,3,3,3,3246.9,1082.3,1.0
October,531131865,loyal,8,12,3,3246.62,405.83,0.38
November,514999703,loyal,14,18,2,3246.36,231.88,0.14
November,565532148,loyal,12,17,5,3243.51,270.29,0.42
October,554090147,returning,5,14,7,3243.33,648.67,1.4
October,550894176,loyal,7,9,4,3240.11,462.87,0.57
October,519545926,loyal,7,10,4,3238.36,462.62,0.57
October,512599092,loyal,8,11,2,3238.18,404.77,0.25
October,534264927,returning,4,6,3,3237.26,809.32,0.75
November,571254770,returning,3,3,2,3235.47,1078.49,0.67
October,557646747,loyal,38,62,8,3231.13,85.03,0.21
October,517492939,returning,2,5,2,3230.41,1615.21,1.0
October,512796913,loyal,9,14,4,3228.92,358.77,0.44
October,557494063,loyal,24,32,6,3226.14,134.42,0.25
November,558768432,loyal,9,17,5,3219.61,357.73,0.56
November,519544312,loyal,15,17,5,3210.72,214.05,0.33
October,514745922,returning,5,5,3,3209.05,641.81,0.6
October,515702401,loyal,10,16,4,3205.91,320.59,0.4
November,530588589,loyal,10,11,3,3205.53,320.55,0.3
October,559197666,returning,4,4,2,3202.5,800.63,0.5
October,552659701,returning,5,5,3,3199.6,639.92,0.6
November,514188691,loyal,11,16,3,3199.21,290.84,0.27
October,514597168,loyal,24,35,10,3197.23,133.22,0.42
October,525351013,loyal,57,159,19,3194.32,56.04,0.33
November,515595329,loyal,9,14,2,3191.85,354.65,0.22
October,554568653,loyal,15,21,4,3191.6,212.77,0.27
November,569903837,returning,3,5,2,3188.46,1062.82,0.67
October,541431873,loyal,20,22,3,3183.88,159.19,0.15
October,553867979,loyal,35,50,13,3183.4,90.95,0.37
October,512602712,loyal,15,32,8,3182.8,212.19,0.53
October,519366429,returning,5,8,3,3181.95,636.39,0.6
November,572271175,returning,2,2,2,3180.78,1590.39,1.0
October,559080327,returning,3,6,3,3177.09,1059.03,1.0
November,524907474,returning,3,3,2,3176.67,1058.89,0.67
October,531658797,loyal,6,11,2,3176.06,529.34,0.33
November,539572098,loyal,7,11,3,3172.25,453.18,0.43
November,518492719,returning,3,14,2,3168.14,1056.05,0.67
October,512676452,loyal,17,25,2,3167.76,186.34,0.12
October,518782778,loyal,21,30,8,3167.26,150.82,0.38
October,545461522,returning,2,3,2,3167.19,1583.6,1.0
October,550698092,loyal,7,9,2,3163.27,451.9,0.29
November,518875339,loyal,6,7,4,3162.68,527.11,0.67
October,553006773,loyal,6,15,4,3161.45,526.91,0.67
November,558430622,loyal,26,30,5,3160.62,121.56,0.19
October,529393108,returning,4,6,3,3158.37,789.59,0.75
October,516116565,loyal,21,29,5,3153.54,150.17,0.24
November,572119465,returning,5,11,3,3152.46,630.49,0.6
October,514582445,loyal,11,16,4,3151.5,286.5,0.36
October,528346575,loyal,9,12,3,3147.93,349.77,0.33
November,522461331,loyal,10,30,6,3146.03,314.6,0.6
October,529361875,loyal,9,14,2,3145.52,349.5,0.22
October,517712257,returning,3,6,2,3144.88,1048.29,0.67
October,513601585,loyal,25,41,4,3143.42,125.74,0.16
October,540388159,loyal,7,23,4,3142.4,448.91,0.57
October,512654674,loyal,22,29,4,3137.12,142.6,0.18
October,519497399,loyal,34,46,9,3131.55,92.1,0.26
October,559232746,loyal,7,8,3,3131.22,447.32,0.43
October,514073817,loyal,18,22,4,3129.73,173.87,0.22
November,521100927,returning,5,8,2,3128.03,625.61,0.4
November,564104966,loyal,12,23,2,3126.73,260.56,0.17
October,515882395,loyal,11,18,5,3126.17,284.2,0.45
November,538216048,returning,5,10,3,3121.73,624.35,0.6
October,551678170,loyal,15,38,3,3120.67,208.04,0.2
October,542015565,returning,5,7,2,3117.2,623.44,0.4
October,548723423,loyal,6,9,3,3113.97,519.0,0.5
October,542149790,loyal,29,66,3,3110.95,107.27,0.1
October,518960325,loyal,9,16,2,3104.0,344.89,0.22
October,535141882,loyal,12,13,3,3102.74,258.56,0.25
October,555928116,loyal,7,12,3,3102.54,443.22,0.43
October,514578913,returning,2,3,3,3101.52,1550.76,1.5
October,517040519,loyal,13,14,2,3100.47,238.5,0.15
October,512825823,loyal,19,21,4,3099.93,163.15,0.21
October,516619914,returning,3,3,2,3099.65,1033.22,0.67
October,518027175,returning,5,10,3,3098.19,619.64,0.6
October,516682910,loyal,11,12,4,3097.09,281.55,0.36
October,542905361,loyal,17,28,4,3095.7,182.1,0.24
October,561923165,loyal,7,14,2,3088.84,441.26,0.29
November,555899899,loyal,19,31,2,3088.36,162.55,0.11
October,514592121,returning,2,2,2,3086.82,1543.41,1.0
October,512575501,loyal,16,27,5,3085.53,192.85,0.31
October,518702208,loyal,7,14,2,3083.71,440.53,0.29
October,522625245,returning,2,2,2,3083.71,1541.86,1.0
October,517483912,loyal,21,34,9,3081.59,146.74,0.43
October,513330399,loyal,6,8,4,3080.82,513.47,0.67
October,522441643,loyal,26,32,3,3080.62,118.49,0.12
November,515220911,returning,4,8,3,3073.15,768.29,0.75
November,567229190,new,1,3,2,3071.92,3071.92,2.0
October,513156707,returning,5,7,2,3067.18,613.44,0.4
November,572191806,loyal,7,14,4,3066.94,438.13,0.57
October,514957447,loyal,12,17,3,3064.6,255.38,0.25
October,512434925,returning,4,5,3,3062.91,765.73,0.75
October,556383991,loyal,9,13,4,3059.98,340.0,0.44
October,513537191,loyal,6,11,3,3057.07,509.51,0.5
November,542082026,loyal,10,10,3,3053.61,305.36,0.3
October,557053775,new,1,2,2,3049.99,3049.99,2.0
October,541021029,loyal,10,20,7,3048.02,304.8,0.7
October,516677603,loyal,9,17,3,3042.93,338.1,0.33
October,532008181,loyal,8,10,2,3042.54,380.32,0.25
November,539097447,loyal,6,7,3,3036.78,506.13,0.5
November,519361840,loyal,15,17,3,3036.54,202.44,0.2
October,544647372,returning,3,4,2,3034.57,1011.52,0.67
October,513512984,loyal,20,29,3,3034.27,151.71,0.15
October,564769842,loyal,11,16,4,3033.42,275.77,0.36
October,552840605,returning,4,6,3,3030.03,757.51,0.75
October,525562910,loyal,8,8,2,3027.07,378.38,0.25
November,516722416,loyal,10,15,4,3026.02,302.6,0.4
October,535257980,loyal,10,11,3,3019.45,301.95,0.3
November,512574271,returning,2,5,2,3017.06,1508.53,1.0
November,576628722,returning,4,10,3,3016.71,754.18,0.75
October,556593461,loyal,92,97,2,3012.76,32.75,0.02
October,546016824,loyal,28,45,4,3012.31,107.58,0.14
October,550068317,loyal,13,15,3,3011.55,231.66,0.23
October,517928418,loyal,10,16,3,3011.33,301.13,0.3
October,560896599,loyal,11,19,3,3011.33,273.76,0.27
November,516840354,loyal,13,16,4,3011.17,231.63,0.31
November,562736527,loyal,8,8,2,3009.93,376.24,0.25
October,530589790,loyal,19,48,14,3009.03,158.37,0.74
November,512698488,returning,2,4,2,3008.83,1504.42,1.0
October,548112255,loyal,30,39,5,3007.69,100.26,0.17
October,522829010,returning,4,7,2,3003.95,750.99,0.5
October,514663667,loyal,11,15,7,3001.54,272.87,0.64
October,527948225,loyal,14,27,4,2999.98,214.28,0.29
November,544146615,returning,3,4,3,2995.64,998.55,1.0
October,520194232,loyal,6,11,3,2995.62,499.27,0.5
October,512520469,loyal,8,8,3,2989.71,373.71,0.38
October,551064724,returning,3,8,3,2989.51,996.5,1.0
November,536064871,returning,3,3,2,2985.64,995.21,0.67
October,512681805,loyal,22,26,8,2985.15,135.69,0.36
November,572138483,loyal,22,29,4,2984.79,135.67,0.18
November,526849141,loyal,10,12,4,2983.17,298.32,0.4
October,514124563,returning,5,5,3,2981.58,596.32,0.6
October,515474900,loyal,8,13,2,2980.98,372.62,0.25
October,548845110,loyal,9,11,3,2980.43,331.16,0.33
November,535375596,loyal,14,26,4,2975.74,212.55,0.29
October,514862645,loyal,18,23,9,2972.01,165.11,0.5
October,542717096,returning,3,3,2,2970.96,990.32,0.67
October,561408862,loyal,20,29,4,2970.87,148.54,0.2
October,519164752,returning,3,6,2,2969.91,989.97,0.67
October,512757661,loyal,28,59,3,2966.27,105.94,0.11
October,530334450,loyal,8,14,4,2965.6,370.7,0.5
October,512718404,returning,5,5,2,2958.33,591.67,0.4
October,514511498,returning,2,3,2,2957.35,1478.68,1.0
October,516323509,loyal,10,16,2,2957.29,295.73,0.2
October,543708346,loyal,11,14,4,2957.11,268.83,0.36
November,512445284,loyal,22,30,4,2956.27,134.38,0.18
October,558411399,loyal,7,11,3,2955.64,422.23,0.43
October,547042232,returning,5,7,3,2954.98,591.0,0.6
October,564460153,returning,2,3,2,2953.84,1476.92,1.0
October,524430529,returning,4,5,3,2948.09,737.02,0.75
October,548158996,returning,2,4,2,2947.28,1473.64,1.0
October,512870255,loyal,16,22,6,2945.42,184.09,0.38
November,566448225,loyal,101,148,10,2943.95,29.15,0.1
November,568826799,loyal,25,35,10,2943.68,117.75,0.4
October,544750249,returning,5,6,2,2939.48,587.9,0.4
October,514487981,loyal,16,26,2,2939.48,183.72,0.13
November,518981196,loyal,18,25,5,2939.06,163.28,0.28
October,534820779,loyal,16,33,6,2937.19,183.57,0.38
November,575356258,loyal,8,11,3,2935.42,366.93,0.38
October,525319408,returning,4,5,2,2933.82,733.46,0.5
November,572132019,returning,4,9,3,2933.58,733.4,0.75
October,556676313,loyal,6,11,4,2932.7,488.78,0.67
October,536352635,loyal,22,48,12,2931.47,133.25,0.55
November,539680244,loyal,7,11,2,2930.84,418.69,0.29
October,513825957,loyal,16,34,4,2929.48,183.09,0.25
November,573423364,loyal,8,11,2,2927.36,365.92,0.25
October,521463763,loyal,12,20,3,2926.71,243.89,0.25
October,521838422,returning,5,9,3,2926.68,585.34,0.6
November,562123552,returning,4,4,2,2924.71,731.18,0.5
October,552614654,loyal,7,10,2,2921.71,417.39,0.29
October,552190231,loyal,6,8,3,2920.86,486.81,0.5
November,538665902,loyal,7,10,3,2920.74,417.25,0.43
November,521339236,loyal,28,55,8,2919.82,104.28,0.29
November,513621058,returning,5,6,2,2918.14,583.63,0.4
October,519468511,loyal,15,17,4,2917.37,194.49,0.27
November,551476460,returning,5,7,2,2917.3,583.46,0.4
October,548873508,loyal,7,9,3,2913.94,416.28,0.43
November,522838468,loyal,7,7,3,2912.79,416.11,0.43
October,537934646,returning,2,2,2,2912.56,1456.28,1.0
November,565543296,loyal,13,15,2,2909.37,223.8,0.15
November,561761134,returning,5,6,2,2908.3,581.66,0.4
October,543924054,loyal,6,10,2,2905.87,484.31,0.33
October,521946822,returning,5,8,5,2901.53,580.31,1.0
October,550487559,loyal,7,10,4,2900.4,414.34,0.57
November,566357104,loyal,44,115,6,2899.56,65.9,0.14
November,571539009,loyal,25,36,3,2898.02,115.92,0.12
October,519237029,returning,2,6,3,2896.21,1448.11,1.5
October,514815543,loyal,18,29,4,2894.65,160.81,0.22
October,546967331,loyal,26,60,13,2890.81,111.19,0.5
October,513044730,loyal,28,33,5,2890.39,103.23,0.18
October,513282532,loyal,14,22,8,2889.86,206.42,0.57
October,516180598,returning,5,10,3,2887.09,577.42,0.6
October,546796428,returning,2,5,2,2886.18,1443.09,1.0
October,563678855,returning,5,8,3,2882.84,576.57,0.6
November,553353155,loyal,6,12,2,2882.16,480.36,0.33
October,562456458,returning,5,5,2,2881.16,576.23,0.4
October,514718756,loyal,13,20,9,2879.25,221.48,0.69
October,515821265,returning,4,7,3,2879.08,719.77,0.75
October,512514956,loyal,15,17,4,2876.04,191.74,0.27
November,565710689,loyal,10,18,3,2875.5,287.55,0.3
October,546194148,loyal,8,12,4,2875.34,359.42,0.5
October,512664753,returning,3,4,2,2875.18,958.39,0.67
November,555780916,returning,2,4,2,2875.0,1437.5,1.0
November,545564622,loyal,12,17,3,2874.96,239.58,0.25
October,524912971,loyal,7,19,4,2873.55,410.51,0.57
October,530454615,loyal,21,40,12,2873.42,136.83,0.57
October,540473284,loyal,10,15,4,2870.13,287.01,0.4
October,513170366,returning,2,3,2,2870.12,1435.06,1.0
October,559109306,returning,5,7,4,2868.74,573.75,0.8
October,541471203,loyal,6,9,4,2866.85,477.81,0.67
November,514198263,loyal,6,12,3,2866.18,477.7,0.5
October,537102591,returning,3,6,2,2864.22,954.74,0.67
October,512510622,loyal,6,6,3,2862.06,477.01,0.5
November,562930546,returning,3,6,2,2861.96,953.99,0.67
October,555524859,returning,3,5,2,2859.19,953.06,0.67
October,514621306,returning,2,7,3,2857.11,1428.55,1.5
October,519946296,returning,5,7,2,2856.66,571.33,0.4
October,524674128,returning,4,5,2,2856.64,714.16,0.5
October,515358303,returning,4,5,2,2856.62,714.16,0.5
October,559492087,returning,4,5,2,2856.62,714.16,0.5
November,512382536,loyal,10,11,3,2856.45,285.65,0.3
October,555335936,loyal,9,17,5,2854.38,317.15,0.56
November,518539241,loyal,6,10,2,2854.33,475.72,0.33
November,520245179,returning,3,5,2,2853.92,951.31,0.67
October,559434129,returning,4,4,2,2853.77,713.44,0.5
October,548227233,loyal,12,28,5,2853.3,237.78,0.42
November,512762058,loyal,9,18,2,2853.1,317.01,0.22
November,548728783,returning,5,7,4,2852.33,570.47,0.8
October,548391889,loyal,12,18,5,2851.68,237.64,0.42
October,524397050,returning,5,7,2,2851.56,570.31,0.4
November,512388750,loyal,37,51,3,2850.38,77.04,0.08
October,513223667,returning,5,6,2,2849.17,569.83,0.4
October,513387972,loyal,15,39,3,2847.34,189.82,0.2
October,549110391,loyal,7,8,2,2846.98,406.71,0.29
November,537942523,returning,3,5,2,2846.63,948.88,0.67
November,562329386,returning,5,5,3,2845.55,569.11,0.6
October,532116167,returning,4,7,3,2845.09,711.27,0.75
October,512440638,loyal,6,10,2,2843.81,473.97,0.33
October,515104099,returning,3,5,2,2843.32,947.77,0.67
November,526742372,loyal,6,6,2,2842.75,473.79,0.33
October,513803014,loyal,9,14,2,2841.93,315.77,0.22
October,535318184,loyal,20,27,8,2841.78,142.09,0.4
October,553271745,loyal,12,18,3,2841.77,236.81,0.25
October,514057424,loyal,7,12,2,2841.49,405.93,0.29
October,513941722,returning,3,4,2,2841.1,947.03,0.67
October,534507968,loyal,9,10,5,2837.93,315.33,0.56
October,513715833,loyal,19,23,5,2836.94,149.31,0.26
October,559554456,returning,3,6,2,2836.21,945.4,0.67
October,558040315,returning,3,5,2,2836.03,945.34,0.67
October,524951998,returning,2,3,2,2835.75,1417.88,1.0
October,517621861,loyal,6,15,4,2834.91,472.48,0.67
October,561368054,returning,2,2,2,2834.46,1417.23,1.0
October,537606351,loyal,6,8,2,2833.83,472.31,0.33
October,515048449,loyal,7,9,2,2833.57,404.8,0.29
November,569794725,loyal,26,31,5,2831.51,108.9,0.19
October,554577908,returning,4,6,2,2830.96,707.74,0.5
October,520505185,loyal,7,7,2,2830.96,404.42,0.29
October,556288912,loyal,7,7,2,2830.96,404.42,0.29
October,526943487,returning,3,3,2,2830.96,943.65,0.67
October,531896810,loyal,7,10,2,2830.96,404.42,0.29
November,568105973,loyal,18,31,6,2830.13,157.23,0.33
November,519650830,loyal,6,9,2,2829.85,471.64,0.33
October,521257039,returning,5,6,2,2828.64,565.73,0.4
October,547150551,returning,4,7,2,2828.27,707.07,0.5
October,556254558,loyal,6,7,2,2828.05,471.34,0.33
October,522706218,returning,5,13,2,2826.32,565.26,0.4
October,518957175,loyal,9,15,2,2826.32,314.04,0.22
October,517951008,returning,3,3,2,2825.76,941.92,0.67
October,518372139,new,1,4,2,2823.1,2823.1,2.0
November,560796986,returning,4,4,3,2820.91,705.23,0.75
November,513457041,loyal,20,34,4,2820.73,141.04,0.2
November,512398908,loyal,13,24,4,2819.54,216.89,0.31
October,512883216,returning,3,6,2,2818.32,939.44,0.67
October,557262199,loyal,16,52,14,2813.7,175.86,0.88
October,542011470,loyal,27,45,10,2810.78,104.1,0.37
October,561144112,returning,2,2,2,2810.22,1405.11,1.0
November,514694240,loyal,11,11,3,2809.39,255.4,0.27
November,524473299,returning,4,4,2,2808.52,702.13,0.5
October,524741028,loyal,9,15,5,2808.03,312.0,0.56
October,559179233,returning,2,2,2,2807.75,1403.88,1.0
October,562249143,returning,4,4,2,2806.88,701.72,0.5
October,536649436,returning,4,4,2,2799.93,699.98,0.5
October,559187070,returning,2,2,2,2798.99,1399.5,1.0
November,545351687,returning,3,5,3,2797.13,932.38,1.0
November,564195480,loyal,9,10,3,2796.9,310.77,0.33
October,515753999,loyal,6,11,2,2795.44,465.91,0.33
October,532639249,loyal,13,17,2,2794.92,214.99,0.15
October,516639945,loyal,16,26,5,2794.91,174.68,0.31
October,547032145,returning,3,3,2,2794.81,931.6,0.67
November,557313309,returning,3,7,2,2793.08,931.03,0.67
October,559126696,returning,4,10,3,2789.47,697.37,0.75
October,540306118,loyal,8,10,2,2780.23,347.53,0.25
October,520194125,loyal,12,16,4,2778.75,231.56,0.33
October,537830608,loyal,18,23,6,2777.89,154.33,0.33
November,558650663,loyal,9,12,4,2776.1,308.46,0.44
November,549498138,loyal,6,7,2,2775.11,462.52,0.33
October,558276777,loyal,23,75,3,2772.25,120.53,0.13
November,569173614,returning,2,4,2,2770.45,1385.23,1.0
October,550208269,returning,3,3,2,2767.45,922.48,0.67
October,545978464,loyal,18,23,6,2761.98,153.44,0.33
October,565961930,returning,2,7,3,2761.72,1380.86,1.5
October,546708810,returning,5,8,3,2761.39,552.28,0.6
October,547633172,new,1,3,2,2758.88,2758.88,2.0
November,512924855,loyal,9,10,3,2757.1,306.34,0.33
November,518744992,returning,2,3,2,2756.62,1378.31,1.0
October,522114084,loyal,39,53,14,2756.51,70.68,0.36
October,554123806,loyal,7,12,2,2755.93,393.7,0.29
October,553770111,returning,5,11,3,2755.53,551.11,0.6
November,572918483,loyal,13,24,6,2754.86,211.91,0.46
November,512837267,loyal,10,15,2,2752.4,275.24,0.2
October,562930546,returning,2,2,2,2752.3,1376.15,1.0
October,514361011,loyal,8,9,3,2747.18,343.4,0.38
November,517197432,loyal,8,11,3,2747.07,343.38,0.38
October,555644380,loyal,10,15,2,2746.53,274.65,0.2
November,560519912,loyal,11,15,3,2746.02,249.64,0.27
October,518565301,loyal,7,9,2,2745.56,392.22,0.29
November,565475662,loyal,28,43,9,2745.07,98.04,0.32
October,548449052,loyal,28,37,13,2741.71,97.92,0.46
November,559985972,loyal,21,31,3,2741.63,130.55,0.14
October,552047014,returning,5,11,2,2740.58,548.12,0.4
October,545376441,loyal,21,39,12,2738.73,130.42,0.57
November,538360089,returning,3,3,2,2738.03,912.68,0.67
October,516435416,loyal,21,47,4,2737.66,130.36,0.19
October,525858841,loyal,7,10,3,2736.36,390.91,0.43
November,519581928,loyal,6,12,5,2736.02,456.0,0.83
October,549870997,loyal,7,9,3,2735.62,390.8,0.43
November,574494157,returning,4,7,2,2733.37,683.34,0.5
November,519507987,loyal,8,10,2,2728.0,341.0,0.25
November,555312955,loyal,9,11,4,2727.93,303.1,0.44
November,556800275,returning,2,3,2,2727.79,1363.9,1.0
November,568146294,returning,2,3,2,2727.23,1363.62,1.0
November,551022769,loyal,8,8,2,2726.46,340.81,0.25
November,576547385,loyal,7,10,2,2725.38,389.34,0.29
November,567665069,loyal,14,15,2,2725.38,194.67,0.14
November,545409273,loyal,7,7,2,2725.14,389.31,0.29
October,536678720,loyal,11,14,2,2723.98,247.63,0.18
October,555963149,loyal,11,17,7,2723.44,247.59,0.64
October,514654802,loyal,14,18,5,2723.0,194.5,0.36
October,552666388,returning,4,5,2,2722.57,680.64,0.5
November,568585884,returning,2,2,2,2722.23,1361.12,1.0
October,512851367,returning,4,4,2,2717.31,679.33,0.5
October,538017950,loyal,9,12,3,2716.91,301.88,0.33
November,521620584,loyal,21,29,6,2716.1,129.34,0.29
October,544792759,returning,3,6,2,2715.2,905.07,0.67
October,565306251,returning,5,5,2,2714.84,542.97,0.4
October,518639853,loyal,8,14,2,2714.84,339.36,0.25
November,513013149,loyal,15,18,6,2714.2,180.95,0.4
October,550965602,loyal,20,39,6,2712.98,135.65,0.3
October,543451860,returning,5,10,2,2712.78,542.56,0.4
October,561558125,loyal,11,17,6,2707.54,246.14,0.55
November,555118370,loyal,15,38,7,2707.5,180.5,0.47
October,553525063,loyal,14,18,5,2707.19,193.37,0.36
October,559152378,loyal,13,24,5,2706.44,208.19,0.38
October,548358465,loyal,12,16,2,2705.07,225.42,0.17
November,567078816,loyal,11,13,4,2704.5,245.86,0.36
October,557858231,loyal,8,17,4,2701.95,337.74,0.5
November,540306118,loyal,6,7,2,2701.6,450.27,0.33
October,512716365,loyal,10,12,3,2698.11,269.81,0.3
November,514416740,loyal,13,24,6,2694.9,207.3,0.46
November,521802472,loyal,7,8,3,2691.87,384.55,0.43
November,570980677,returning,3,3,2,2690.9,896.97,0.67
November,512599983,loyal,12,20,3,2687.52,223.96,0.25
November,568293704,loyal,14,15,3,2686.5,191.89,0.21
October,541510103,loyal,50,88,17,2686.02,53.72,0.34
November,516230927,loyal,10,13,2,2683.74,268.37,0.2
November,516014867,loyal,12,25,4,2682.46,223.54,0.33
October,513499627,loyal,27,40,3,2682.16,99.34,0.11
October,526987055,returning,2,3,2,2681.67,1340.84,1.0
